challenge_id,target_parsed_to_tcp_sent_ns
2611,5004667
2612,2431792
2614,4789875
2615,3664959
2616,2768209
2618,2476750
2619,3573750
2621,2375541
2622,10070959
2623,2608834
2624,5010875
2626,4719125
2627,21213917
2628,2927000
2629,8259792
2630,3279584
2631,4885917
2632,3161792
2634,2177125
2635,5372167
2637,2476667
2638,4857250
2639,3833250
2641,9414750
2643,4734834
2644,5343500
2645,3231000
2646,2397917
2648,2115791
2649,3230042
2651,2434708
2652,10443000
2653,2229625
2655,33834
2657,2404625
2658,3920709
2659,5590292
2659,5687375
2661,2395500
2662,3919958
2664,2325750
2665,11055666
2667,3165500
2668,5101458
2668,5140792
2670,2686750
2671,4706000
2672,5181042
2674,8890083
2674,8890333
2676,4684916
2678,2589292
2679,4525458
2680,5906208
2682,9262500
2684,40750
2685,4896833
2687,2474292
2688,3250667
2690,5296792
2692,2652209
2693,5345041
2695,3365584
2696,26619375
2697,2394875
2698,6002583
2699,2939750
2700,2354084
2701,4342209
2703,2705958
2705,2446875
2707,4920625
2709,10196375
2710,2539791
2711,5024417
2714,3262416
2717,4017166
2719,2596750
2720,3106292
2721,5707875
2723,10146542
2724,61167
2725,5257833
2726,4556375
2727,72583
2728,9249792
2728,9883000
2730,5497583
2730,5700416
2731,5256459
2731,5384459
2732,4056500
2733,4604958
2735,3170167
2737,4505875
2737,4528416
2738,2116625
2739,3238916
2741,3410542
2743,2706584
2744,10000208
2746,4248375
2748,2346333
2749,5437333
2750,4834208
2750,4891833
2751,3241834
2752,2267167
2754,2329250
2756,5670958
2758,11255750
2760,4240750
2762,10574541
2764,920167
2764,991750
2765,2324959
2767,2937042
2768,4501875
2770,4078167
2771,2041125
2773,4327875
2775,3927458
2777,3242250
2779,3454709
2780,5790791
2782,9345667
2784,4748917
2785,4606292
2787,2263458
2788,4224875
2790,4555208
2791,4226208
2791,4242500
2792,4390500
2793,44500
2794,3328083
2796,4427042
2796,4444834
2797,4287917
2799,44334
2800,2401792
2802,4922333
2803,2456792
2804,9261958
2806,4792125
2807,5278334
2808,2329709
2809,11752000
2810,9235250
2811,1873000
2812,7104250
2813,1952542
2814,2907709
2816,8388583
2817,2264042
2819,4457625
2820,2604333
2822,3272791
2823,2587584
2826,3850041
2829,9954083
2830,2441500
2832,5505959
2833,2594209
2835,5255417
2837,9824584
2840,2225458
2841,5180291
2843,2459541
2844,10360250
2844,10394917
2846,4630750
2847,4692291
2849,2221417
2850,4091375
2852,2417250
2853,5356333
2854,19713083
2855,5586084
2857,3686292
2858,2187416
2860,2534625
2861,9795333
2862,2326583
2863,4529791
2865,3327750
2867,2614042
2868,9548542
2870,4723208
2872,3513500
2873,4910583
2875,9880958
2877,3955792
2878,4454958
2880,2527166
2883,2912708
2885,4091417
2886,2729834
2887,2515500
2888,5258250
2889,2011375
2890,5980458
2891,4547000
2893,8326584
2895,5088250
2897,3320250
2899,13218750
2900,8251958
2901,2447209
2903,2949583
2904,3951000
2905,4747500
2907,2454500
2908,4490417
2910,2890542
2911,6643250
2913,9940791
2914,2507292
2915,4832125
2916,2479584
2918,5311667
2920,10287000
2922,5291583
2923,3758542
2925,3575541
2926,5889625
2928,4916833
2929,4298083
2931,9564541
2933,4949708
2934,4141375
2935,2367708
