udp_arrival_to_queue_ns,queue_duration_ns,worker_processing_ns
208,309667,115875
166,444292,60875
2125,527500,55833
208,129083,109917
125,206291,165417
584,339125,64667
125,371375,62583
250,397500,63125
125,428458,62833
125,458291,64375
1250,1791,80000
667,1917,75083
41,5667,82416
41,584,72708
42,2791,43000
42,1208,70167
42,2792,80875
125,1500,45834
42,2750,101041
125,5583,37375
208,3709,34416
167,7666,36959
708,625,72750
500,875,32667
83,1500,28875
42,417,28083
125,500,29209
83,1375,28417
125,1208,27791
42,833,32958
41,3042,32792
83,2625,96500
83,55833,30125
42,45833,32250
125,38416,30792
833,1625,27500
417,1250,29167
42,1208,25709
42,4125,28333
333,1208,29292
125,417,28166
125,792,29375
84,375,29166
42,500,26833
84,1208,29917
41,250,33834
42,1708,28541
84,2750,26708
83,667,95417
791,3709,30875
416,917,26791
41,1834,47542
42,3750,57625
83,2375,29000
41,3209,38208
83,7084,28084
83,4542,32667
542,20458,28542
125,4792,29791
83,1667,28291
42,1875,43125
542,2708,26041
792,25958,77292
1375,7917,30000
42,3708,114250
208,10708,151709
125,2084,47667
625,14708,121083
84,2208,92083
83,834,115750
84,7333,75583
84,1500,104334
292,18250,66959
41,1834,70875
375,5334,89583
417,485541,75958
250,223333,160667
250,5250,31666
125,1250,107792
417,110583,30833
208,5667,38666
84,59208,66583
83,3833,213750
42,3125,367750
250,100167,29291
208,38750,32959
167,37458,27875
208,67750,146375
417,4708,30208
84,1166,28042
125,583,27459
625,1333,28875
208,750,33000
125,1334,41959
84,2541,30334
84,333,32250
542,1917,26750
84,2583,29375
84,1458,28625
42,2375,30875
125,667,61083
458,1375,29583
42,750,48250
42,958,95708
42,2625,34708
83,3584,39708
42,750,94792
83,2750,34042
83,417,33542
41,709,80250
83,2542,32791
42,1083,84083
42,2791,70375
83,27625,27375
1875,10792,34250
42,27625,32459
83,3625,30333
83,7500,36000
42,1916,98750
84,541,30542
167,4791,28875
84,3000,29125
84,2833,29208
125,2708,28208
84,2791,29792
834,9500,25875
41,834,106709
166,7417,199416
125,2375,58208
667,1333,33167
875,2791,31709
83,4334,30334
83,4167,33917
42,3333,27541
125,1208,29250
83,3833,37625
125,11875,36167
333,14083,98625
750,19917,35500
125,1333,28417
83,1083,43875
250,1084,72542
167,7125,64250
41,1459,160709
42,4625,222625
333,111917,93875
83,173584,41750
333,154542,186625
84,158708,225667
458,206125,36959
5750,159875,81083
250,248792,200875
666,71625,45084
1000,151250,94625
84,55791,28750
334,44166,33875
83,56833,28792
42,4125,30209
42,3292,49334
83,1208,31834
125,1667,35834
83,6042,177917
166,128834,71917
500,49375,29375
542,8125,296208
792,93791,163084
500,541,34292
4542,3167,27083
1084,2000,110625
333,22750,63708
167,10292,81208
125,584,66917
166,23375,387167
42,708,548708
167,342166,32417
209,356416,81917
209,351166,36709
250,326917,34625
333,309125,32583
333,348333,141167
750,5750,107208
375,2291,81542
708,16750,137292
250,55167,30708
125,51959,28792
208,5542,215459
83,40458,98708
84,55416,106708
250,1500,84500
125,4250,38958
167,6083,101125
458,1333,25375
83,3042,31166
708,875,30583
42,3250,50083
42,375,41166
83,6250,32917
125,1541,30792
84,1625,34917
83,3792,29166
83,375,30875
42,208,32250
375,833,28666
125,1250,30083
84,791,28167
42,208,27500
125,750,26500
83,750,27625
83,292,28166
125,708,66417
42,667,42625
84,541,27500
83,375,27750
83,1834,30500
125,292,27083
41,1125,27125
83,2042,27625
41,375,27917
208,1083,64708
166,2417,114750
125,875,29208
42,4333,28375
42,6708,29208
84,3250,27916
41,3209,78708
83,1792,77958
333,750,37583
291,917,89458
666,10000,56917
125,2333,93750
83,18209,30083
459,2416,29125
166,3125,33542
83,1000,27750
42,416,26375
11292,1000,28750
709,1500,28834
42,1208,33375
500,959,35166
83,917,30666
83,709,27167
125,333,27750
42,1667,26917
83,334,26416
84,333,27917
83,209,61917
125,500,27458
125,875,27292
83,417,27708
84,708,30958
42,583,29083
42,625,27792
83,334,28292
41,417,28125
167,542,27667
41,625,27542
42,541,29334
42,792,30958
125,250,45292
541,792,30875
84,2666,26583
84,14125,32041
84,250,31584
83,250,29875
83,417,28458
42,292,26583
42,250,26167
84,333,27875
83,209,27375
84,416,25542
42,291,30375
42,458,26500
458,1542,28667
208,792,30166
42,583,31041
42,250,28625
84,416,27334
84,250,29875
41,417,30333
83,334,27291
83,333,27042
84,416,27584
83,417,28459
84,875,29667
83,250,27208
333,2750,28708
83,459,29500
83,750,27667
42,458,27625
42,916,26834
42,667,28584
41,292,28500
84,2125,27875
84,2166,27458
583,4042,28375
42,3583,27375
83,4625,123042
166,1000,184083
125,47375,43166
41,1959,41875
125,500,45292
41,917,29375
42,417,29500
84,1208,30167
42,333,28333
41,167,27208
125,667,26791
42,500,26791
41,292,28333
83,417,26542
42,333,27834
125,292,38708
42,583,27916
125,1583,26083
41,709,26666
42,416,29208
83,3167,29834
84,375,37958
83,1834,49041
125,1291,109166
666,2625,26792
208,1500,29166
208,5417,27625
125,12416,82083
125,1875,59833
500,6584,54750
167,833,41958
125,9959,33667
125,834,102667
292,17458,33500
83,833,31583
42,583,28083
42,5666,30500
84,2000,31625
459,9125,28084
83,4292,29583
42,375,88125
125,1875,55917
125,375,28584
83,792,30208
42,625,27709
500,2584,27458
125,1125,29292
42,667,27250
83,500,28875
84,250,28416
83,292,27042
84,333,68583
84,750,67125
42,8541,33292
500,2500,26542
166,750,27417
166,625,31625
167,333,26375
41,375,48875
84,2416,41833
750,12042,26416
42,1416,29792
83,375,28666
417,750,27750
42,333,27791
83,500,27792
125,1584,27667
83,959,27000
83,1875,62083
84,1166,26875
42,1833,28833
42,1083,27292
42,1375,26416
41,2209,31250
83,2209,70209
84,6958,38625
41,667,29083
84,333,33875
750,1792,29583
125,750,27792
83,2542,54625
1459,875,63208
250,625,26084
42,792,29041
42,1500,29458
83,1500,33416
41,500,27250
83,292,31041
42,792,28292
41,375,29500
84,208,27875
83,333,28292
125,291,26709
83,292,71958
125,208,50208
375,4750,28625
41,3709,47250
83,4959,60958
250,875,29792
83,1834,36083
84,3625,29417
41,792,27958
83,709,30958
83,459,27500
83,584,28667
83,292,30125
84,1916,29750
84,1375,79375
208,625,28000
84,1000,27334
84,2791,27042
41,4500,27333
83,458,28042
84,291,28000
41,292,28667
42,625,27209
83,542,26375
84,250,30750
83,209,26833
42,333,26792
83,208,26708
292,2666,30000
291,1959,30208
208,8333,70958
125,1792,54834
292,24666,55959
83,28458,28917
83,22833,42375
125,2959,87042
292,750,30375
83,1042,29792
83,292,36750
84,1083,83958
125,2375,39417
250,792,30125
41,1167,27000
83,2042,27167
83,417,30083
83,1084,27500
83,250,93375
84,625,74125
166,16625,32167
792,1416,29125
125,1125,29500
42,1917,27500
42,250,27500
83,334,28709
166,709,27917
42,1333,27292
41,2250,26167
291,1334,29750
41,375,30667
84,375,27792
84,291,25833
125,250,28541
42,1041,27125
41,1250,81000
84,1833,60125
208,6584,43334
84,1458,28041
208,3709,28000
41,14625,30583
83,2792,25958
125,5292,37291
667,4333,84000
84,20916,104042
42,22916,55500
291,10500,65083
291,10084,31541
500,1000,78667
125,1875,84875
83,1292,140250
541,12042,127125
167,875,27625
83,2500,28916
125,4500,53667
42,583,31917
83,583,27792
83,292,30833
83,417,28583
83,292,27750
83,375,30125
84,333,28958
125,459,28250
83,709,27791
84,208,32541
125,833,29042
83,1083,29167
41,3334,29042
167,2042,27708
42,458,28459
83,834,33000
83,2584,28458
41,1209,71542
83,417,49875
83,10500,29250
834,1166,26417
84,1750,29583
84,458,28333
291,625,29042
42,2041,40958
500,11167,28125
208,5417,47709
84,583,33583
84,541,30208
125,916,29709
42,458,29083
84,416,30625
84,458,27583
84,708,28500
83,375,27125
83,167,27791
84,458,27458
84,458,45875
42,3500,27750
125,583,27500
83,4875,27500
84,291,28500
83,208,27625
41,292,27000
84,250,27166
83,333,31542
83,584,29666
83,167,27375
83,333,26917
1041,6667,44083
83,1250,28333
42,2083,56875
625,1209,31500
208,1125,56333
42,3208,29875
42,958,28833
84,666,27250
125,750,27458
42,542,30542
83,2875,29916
83,2959,30583
125,709,25791
292,1208,27542
84,375,30000
83,834,25666
83,3292,33791
208,375,38833
83,15167,47709
84,8583,28750
83,708,29750
84,1916,37500
84,750,28459
84,2791,26875
208,583,26708
83,208,65834
83,625,27708
42,375,29541
83,1542,29250
41,2292,29792
83,2042,26333
42,417,30834
41,292,29667
84,1708,27458
41,500,31959
83,875,29083
83,250,95583
83,709,88209
166,28459,27834
333,1209,28667
41,1500,26125
83,1167,36958
125,3083,49250
42,500,28833
41,334,30083
583,1125,28291
42,1583,28292
41,209,26500
84,1208,81125
83,417,55708
41,20959,32291
417,792,28208
167,2083,27084
83,334,26834
0,375,27625
83,292,30792
41,12625,28167
41,3209,36875
42,500,47708
41,24792,31542
41,1250,43750
42,458,30167
167,1000,27916
42,250,29209
42,750,31584
292,666,28167
42,2083,27667
42,2500,28167
83,2417,30417
83,292,28500
84,333,63958
84,833,57083
208,417,26959
208,833,27917
83,1750,27167
41,250,26584
41,375,26542
209,750,28000
125,792,28584
41,1542,28458
83,1667,28166
41,459,30958
84,458,66583
125,417,58167
42,6208,30083
41,1084,29959
42,708,29708
125,250,26834
42,375,27291
83,458,27542
83,292,27125
334,875,28791
125,1000,27625
1042,2667,25750
84,791,30375
125,459,37834
42,1125,37041
41,709,27541
83,375,31292
42,583,28625
41,167,27916
42,375,30083
84,250,27584
83,292,27083
83,417,27042
83,2208,39250
42,458,30875
83,333,31792
42,333,27875
83,209,65250
83,250,39084
84,2458,28333
208,833,29042
84,958,31375
292,833,26000
125,458,27167
42,916,26500
166,625,28250
83,334,27208
83,792,28334
83,334,27083
42,708,28583
83,333,29834
42,3708,28083
84,666,77583
83,292,56209
42,8708,26959
84,8250,30041
42,250,29125
42,750,28041
167,542,26750
41,709,27625
41,1042,27708
42,1000,28000
42,1250,28000
84,3375,30208
83,3000,27125
83,1667,29375
41,1500,27084
125,1000,27500
875,1666,55917
167,4041,93666
125,750,131500
500,3542,71375
292,1958,55459
292,2583,31458
83,459,29875
542,916,28542
125,6292,32708
42,917,38042
125,2209,101834
42,2750,74375
83,2083,26333
625,833,35584
166,500,80458
208,3959,33833
84,1541,28542
42,750,25500
42,1417,26833
125,375,29541
83,292,27875
41,250,27250
84,500,27625
84,416,29250
83,583,27042
83,292,28458
166,500,107625
83,500,96167
167,44000,39500
208,792,27792
42,2791,30458
41,2209,27750
166,500,26458
84,19541,31333
167,13458,52208
209,9000,28791
42,291,30833
84,541,27208
84,541,69834
41,14417,38625
83,9375,59042
125,209,27583
84,416,27375
41,417,26708
83,250,30875
42,4833,31250
42,708,29583
125,167,27125
83,250,29625
125,250,68666
42,14375,36875
42,9208,29500
584,1208,28625
42,291,28958
125,667,38917
167,1416,27542
84,833,30208
84,3166,27292
667,1083,27958
84,500,29458
84,458,28500
83,375,27583
83,292,90083
41,250,82000
166,24125,29917
208,2167,29250
125,875,29125
41,1125,27792
459,1500,29667
42,917,26834
41,2209,31000
83,375,27792
125,792,29208
83,1000,32958
83,1750,31083
125,542,28834
83,459,30292
41,500,27708
42,708,27500
250,625,27708
41,334,26458
167,1167,28458
84,4708,46500
42,1958,80708
41,6084,63667
166,834,46666
42,5458,39584
125,6500,94042
83,1625,29542
125,1084,30375
500,1083,52333
208,4417,39208
458,958,31917
83,1000,62458
541,917,30917
1209,3041,26958
42,2208,28625
41,3084,28833
83,625,28917
42,458,26666
42,4417,69959
41,4542,91666
584,29708,70375
41,43584,36084
42,29791,95084
166,8334,45584
667,1125,41625
41,875,28458
500,1459,26250
42,3791,51250
83,7250,30250
41,16084,32542
166,4125,93750
500,8416,60500
83,2000,26625
84,916,29667
209,3625,30041
42,1042,33000
125,625,153000
83,2375,104500
708,1750,29750
42,583,30958
41,2417,44458
917,792,28416
83,625,30333
83,1000,29042
125,500,30416
83,292,30458
84,875,28250
83,500,28542
125,667,29459
84,791,26375
84,250,28208
125,375,26208
41,625,28875
42,1708,27042
41,2209,28584
41,334,27334
83,375,29500
41,1000,31708
42,2375,29167
42,1166,28584
417,1375,52917
125,584,106791
42,16000,30333
250,958,50125
375,1542,27792
42,541,28667
83,1833,29458
83,1625,29792
42,291,27542
125,208,27833
84,708,27708
42,583,26750
84,2000,32291
42,1333,61916
41,1209,117000
84,45250,47417
833,14583,23250
500,24875,38667
541,1875,61084
84,3333,62333
41,4917,58208
42,708,42750
167,1166,34834
166,5000,29375
42,458,28458
125,833,86375
125,333,70167
42,26833,30625
250,1084,31875
625,1375,26334
375,1792,28250
42,21041,30125
167,16458,31125
125,875,30292
42,3791,29709
125,334,27541
84,1083,27958
375,8875,28083
83,709,34833
208,1417,79500
333,17167,32208
83,3292,34833
83,12417,150875
250,1417,28833
417,916,26042
250,1542,26542
417,1625,26750
41,2750,42417
125,2667,41792
83,2625,36250
41,917,78625
41,1209,85167
250,6250,26375
42,2083,37625
42,2583,32583
84,1333,62625
41,1792,28166
42,3625,26958
83,375,26583
125,417,27375
42,375,26292
84,250,25959
84,416,75750
84,916,27334
83,292,25792
84,291,26500
83,250,26709
83,750,26750
41,292,25708
125,1125,44125
833,1625,49167
375,4083,28542
83,2875,34500
42,3917,42375
83,4458,47292
125,6750,36000
292,2166,33625
125,6583,32917
42,708,37709
83,3500,71250
291,959,31875
83,417,30542
84,1833,26458
41,2959,26291
83,458,37000
42,1792,30292
458,958,29959
42,250,29208
125,667,27250
83,625,27125
83,2167,28292
41,1584,25917
84,250,26083
83,1417,27875
83,1292,26083
167,792,28542
42,3125,27500
125,291,28375
42,1083,30125
125,500,27792
83,583,28375
83,250,27291
84,625,27542
84,583,27375
42,375,28500
42,250,27000
84,541,27125
83,292,26250
292,2833,27209
41,3292,30667
83,8667,37834
125,3125,34417
83,7750,35708
42,1500,67042
42,20958,29167
41,3875,36167
291,542,35208
83,2500,34458
42,2833,98083
42,2750,83792
667,4417,28375
333,625,28084
42,1250,32291
166,1375,86208
84,2666,35167
83,3292,41667
166,709,84083
125,875,33500
166,1959,66375
42,15708,66792
291,834,34750
208,708,72417
250,7208,78667
10875,750,34959
250,1042,28667
42,1333,30709
541,1834,30167
125,833,29667
125,250,28083
83,625,32959
42,875,30750
42,625,28166
84,333,87958
41,334,75208
42,31583,30916
84,15333,35958
83,959,30625
125,708,28625
42,4708,31542
125,2500,28334
375,2958,49208
83,1083,30583
125,583,29459
84,1416,28375
41,1084,29000
84,500,28958
42,333,27625
83,334,26875
42,3000,99000
83,292,67042
83,3292,28833
83,3875,28500
250,2625,27333
42,2208,29917
84,2208,51333
83,2625,28500
83,1084,42084
166,584,142584
167,9458,64000
125,12708,31500
83,6000,29375
83,3459,26916
83,708,27125
125,459,27250
42,2125,35791
83,2167,29500
84,291,27500
83,4333,27292
166,750,31417
833,2500,86375
208,6917,107042
84,2833,37667
84,3208,27792
42,1167,84542
83,1792,52125
334,9875,34209
458,2708,46333
41,1042,42083
84,1083,37458
84,3625,37166
125,2500,33833
791,9625,86000
125,1208,83000
500,708,26834
83,3292,29375
84,2416,28917
