challenge_id,target_parsed_to_tcp_sent_ns
1793,2596833
1793,348542
1795,4905417
1795,1343750
1797,2559583
1796,50375
1798,1623083
1798,1641625
1798,2500125
1801,2816833
1802,2139084
1801,431250
1803,1100833
1804,1366916
1805,1374250
1805,1430417
1803,2549583
1803,2559125
1806,739958
1804,2224041
1805,166458
1806,806292
1808,2246208
1807,499084
1809,20375
1808,2324958
1809,178917
1809,344208
1811,2121500
1812,928834
1811,1347125
1812,2884042
1813,4290167
1815,1143042
1815,105208
1817,2186125
1816,1362833
1817,3407708
1818,2639958
1819,4045250
1818,1437625
1821,2199500
1819,105708
1820,3052500
1823,1774708
1822,101833
1823,1575958
1824,3514291
1826,386084
1826,387542
1825,2939167
1827,142917
1826,821125
1826,822541
1828,628208
1827,3525666
1827,3548625
1829,2625458
1829,2690750
1830,4374459
1830,4400917
1830,3211042
1831,2483542
1831,1222792
1833,1459500
1833,1460166
1832,1033875
1834,2854792
1833,2784500
1835,2417833
1837,735875
1835,1625417
1838,3917083
1837,505875
1838,352875
1842,3784167
1843,2606750
1840,52792
1841,49333
1842,209750
1843,2168000
1844,1030708
1846,2651916
1845,1295125
1848,2329833
1847,2620750
1847,2654084
1848,4062500
1850,1536958
1849,203292
1852,2343792
1852,2376000
1851,1504458
1853,2487084
1853,2496209
1854,2696875
1853,1169208
1855,408042
1854,1618166
1854,1643958
1856,3489792
1857,2450334
1858,4340250
1857,119833
1858,138667
1859,2784250
1860,3646167
1862,4455250
1863,648042
1862,1139625
1862,1169292
1865,2272125
1865,2314958
1866,2721750
1866,2731000
1865,3134417
1867,1737000
1868,2463166
1870,1145500
1869,1125125
1870,3590375
1872,2736167
1873,2843000
1872,1559334
1873,1949458
1874,162750
1874,163583
1875,1583000
1875,1585042
1876,2164834
1877,314833
1879,2694208
1878,1407625
1879,47291
1880,1781500
1881,4394916
1882,2596542
1883,4124125
1884,2474542
1885,5679625
1883,1422375
1884,1431083
1886,36500
1887,3861625
1886,37208
1889,35166
1888,292250
1889,22042
1890,2579417
1890,369792
1893,4139250
1892,1685125
1893,1645291
1894,2576041
1895,3988667
1897,3309042
1895,1938417
1897,800292
1898,2638333
1898,1608542
1901,1283291
1899,2812167
1900,1899708
1901,2993958
1902,2417750
1904,97917
1902,135833
1905,3178333
1904,510375
1907,3116667
1908,2054167
1907,373625
1909,4155375
1908,305083
1909,1851084
1911,3961584
1913,245042
1911,3441917
1911,3442792
1911,3461042
1912,2213917
1913,4687083
1914,2554333
1914,1207667
1916,1068916
1917,1071459
1916,761333
1917,5263334
1919,2698625
1918,1033000
1920,1461541
1919,839333
1920,1479167
1921,3466083
1923,1095625
1923,1375625
1925,2828834
1925,2864000
1927,4255542
1926,1657458
1929,1482292
1929,1493167
1927,2513542
1927,2525834
1928,216458
1930,2440000
1931,3033084
1931,3033625
1930,693417
1931,218500
1932,618459
1933,1074958
1935,2672292
1936,6033250
1936,2175542
1937,2531666
1938,4091667
1939,1757125
1939,1777833
1938,1831792
1939,132125
1940,685375
1942,3576959
1941,286458
1942,1641292
1944,529125
1944,545666
1945,2941708
1945,2538459
1948,1871166
1948,1916416
1947,2649833
1947,2663000
1947,2710458
1949,2368084
1950,2133292
1950,2904458
1950,2906750
1951,4318083
1954,4105042
1953,2032166
1956,87291
1954,2603500
1956,2872375
1958,7491166
1958,7537666
1959,2147083
1959,2247333
1959,845083
1960,381916
1961,5627333
1961,5628333
1962,2361667
1962,3577416
1965,2502500
1965,2524042
1966,2356417
1967,128084
1966,3765042
1967,4150458
1968,2404167
1968,36375
1969,1998167
1972,3495375
1973,1913417
1970,64583
1971,340792
1972,5758458
1973,1507000
1976,3884208
1975,148000
1976,1482917
1977,241042
1979,61083
1981,5088750
1981,1937625
1983,2797834
1983,2798584
1982,938083
1983,844125
1985,2394500
1985,3455917
1987,2565959
1986,1300375
1988,2383459
1987,732583
1990,931875
1988,1982375
1991,555291
1992,3899000
1992,2208583
1995,2564291
1996,1655750
1996,1688125
1997,2609750
1996,2377375
1997,2431833
1998,1715917
2000,3142750
2001,2788958
2002,3851166
2000,81166
2000,140000
2004,1927292
2002,182917
2003,598375
2006,1084792
2006,1103709
2007,32584
2006,2043250
2007,1062417
2009,2092250
